Filename,Run Count,Last Run Date
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\0956129802\艰难生存.name",9,133606040249239010
"E:\$RECYCLE.BIN\S-1-5-21-2197791677-4115543512-962653028-1001\$I31G5BU.mp4",3,133692066766714602
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\0650005047\正式版艰难生存.name",3,133539232818220474
"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Node.js\Uninstall Node.js.lnk",2,133608753484319489
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\0967570929\测试神器.name",2,133553325205921297
"C:\Users\liang\Downloads\森林之子完整版存档\0650005047\正式版艰难生存.name",2,133539217502343061
"C:\Users\liang\Videos\NVIDIA\Dyson Sphere Program\Dyson Sphere Program 2024.08.02 - 20.47.25.01.mp4",1,133692067590008269
"G:\Steam\steamapps\workshop\content\431960\2886769262\横版（带闲置动作）.mp4",1,133692067357372906
"E:\录制保存\模组向森林之子\闲言碎语.mp4",1,133692066907030414
"C:\Users\liang\Videos\新建文件夹\森林之子片头",1,133685447606424682
"C:\ProgramData\Microsoft\Windows\Start Menu\Programs\360安全中心",1,133685383291746883
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\1376844702\建筑大杂烩.name",1,133683858110048824
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\0647495828\艰难生存之再起风云.name",1,133673385966446375
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\Multiplayer\1594491937\艰难生存（2）.name",1,133673318862478880
"E:\obs-studio\Preset\input-overlay-5.0.5-presets",1,133664574591365167
"C:\Users\liang\Videos\森林之子片头",1,133650859632520597
"G:\Steam\steamapps\downloading\1404210\RDR2.exe",1,133649333943568890
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\0331647703\创意模式.name",1,133610425288954334
"C:\Program Files\WindowsApps\B9ECED6F.ArmouryCrate_5.8.9.0_x64__qmba6cd70vzyy\Win32Diagnostics\ArmouryCrate.Win32Manager.exe",1,133609320096224850
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\1452507743\艰难生存3.name",1,133605824087082314
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\Multiplayer\1452507743\艰难生存3.name",1,133605824035832503
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\0864521021\默认存档.name",1,133553324758565548
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\0368963624\正式版和平新档.name",1,133539217876936492
"C:\Users\liang\AppData\LocalLow\Endnight\SonsOfTheForest\Saves\76561198852934495\SinglePlayer\1268508985\正式版艰难生存.name",1,133539205749910553
